amoblado,amount_max_bs,amount_max_usd,bathroom,baulera,bedroom,dimension,elevator,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,longitud,pool,price,status,year_built
0,40002059.0,5831204.0,5.0,0,3.0,406,0,2677,3804.93,18362,2448,16792,2,514339,1,1,-16.548426,-68.08575400000001,0,483800,1,2019.0
0,40002059.0,5831204.0,5.0,0,3.0,352,0,1494,1885.01,10248,1366,9371,7,513881,1,1,-16.530094000000002,-68.079918,0,270000,2,2005.0
0,40002059.0,5831204.0,6.0,0,4.0,413,0,1992,2513.35,13663,1821,12495,2,514827,1,1,-16.551336,-68.070038,0,360000,2,
0,40002059.0,5831204.0,5.0,0,4.0,260,0,2047,2583.16,14043,1872,12842,2,518925,1,1,-16.514154,-68.058319,0,370000,2,
0,40002059.0,5831204.0,8.0,0,7.0,600,0,1438,1815.2,9868,1316,9024,2,519190,1,1,-16.487818,-68.161148,0,260000,2,
0,40002059.0,5831204.0,5.0,0,4.0,385,0,1853,2317.97,12715,1695,11628,2,519566,1,1,-16.518499,-68.086853,0,335000,2,
0,40002059.0,5831204.0,4.0,0,4.0,450,0,3486,4398.36,23911,3188,21867,2,518831,1,1,-16.564365,-68.112679,0,630000,2,
0,40002059.0,5831204.0,4.0,0,4.0,329,0,1494,1868.21,10248,1366,9371,6,520510,1,1,-16.531616,-68.080475,0,270000,2,2004.0
0,40002059.0,5831204.0,2.0,0,2.0,200,0,1936,2490.95,13284,1771,12148,2,522368,1,1,-16.532688,-68.074715,0,350000,2,2011.0
0,40002059.0,5831204.0,8.0,0,6.0,380,0,2573,3217.48,17649,2353,16140,5,520537,1,1,-16.525345,-68.104698,0,465000,2,1988.0
0,40002059.0,5831204.0,3.0,0,3.0,187,0,1518,,10410,1388,9520,2,527886,1,1,-16.544007999999998,-68.054024,0,240000,2,
0,40002059.0,5831204.0,9.0,0,9.0,397,0,1660,,11386,1518,10413,5,531257,1,1,-16.505142000000003,-68.08255799999999,0,300000,2,2014.0
0,40002059.0,5831204.0,5.0,0,3.0,500,0,3043,,20875,2783,19090,3,526425,1,1,-16.512541,-68.057106,0,550000,2,2014.0
0,40002059.0,5831204.0,4.0,0,3.0,280,0,1992,,13663,1821,12495,2,529300,1,1,-16.532463,-68.07330300000001,0,360000,2,2014.0
0,40002059.0,5831204.0,5.0,0,4.0,470,0,2042,,14005,1867,12808,2,530113,1,1,-16.535742000000003,-68.07465400000001,0,369000,2,
0,40002059.0,5831204.0,3.0,0,9.0,678,0,2324,,15941,2125,14578,2,529962,1,1,-16.539618,-68.096535,0,420000,2,1975.0
0,40002059.0,5831204.0,3.0,0,3.0,280,0,1201,,8241,1099,7537,3,531755,1,1,-16.530941000000002,-68.054512,0,190000,2,2008.0
0,40002059.0,5831204.0,7.0,0,5.0,311,0,1837,,12601,1680,11523,3,533922,1,1,-16.521509,-68.05722,0,332000,2,
0,40002059.0,5831204.0,3.0,0,4.0,243,0,1632,,11196,1493,10239,3,534205,1,1,-16.533511999999998,-68.077148,0,295000,2,
0,40002059.0,5831204.0,5.0,0,4.0,374,0,1743,2188.48,11955,1594,10933,2,472816,1,1,-16.517032999999998,-68.087242,0,315000,2,
0,40002059.0,5831204.0,4.0,0,4.0,304,0,2047,,14043,1872,12842,2,537847,1,1,-16.544447,-68.065163,0,370000,2,
0,40002059.0,5831204.0,5.0,0,3.0,271,0,1466,1918.36,10058,1341,9198,2,506372,1,1,-16.539804,-68.057724,0,265000,2,
0,40002059.0,5831204.0,6.0,0,4.0,378,0,1654,2075.63,11348,1513,10378,2,491176,1,1,-16.557436,-68.104431,0,299000,2,
0,40002059.0,5831204.0,6.0,0,3.0,378,0,1604,2096.46,11007,1467,10066,2,496431,1,1,-16.562859,-68.103386,0,290000,2,
0,40002059.0,5831204.0,4.0,0,3.0,300,0,1499,1653.28,10280,1370,9401,3,500005,1,1,-16.514046,-68.059212,0,237000,2,
0,40002059.0,5831204.0,6.0,0,4.0,345,0,2075,2615.95,14233,1897,13016,2,504981,1,1,-16.512421,-68.057358,0,375000,2,
0,40002059.0,5831204.0,13.0,0,10.0,924,0,5422,6841.89,37195,4958,34015,2,508519,1,1,-16.564792999999998,-68.112801,0,980000,2,1998.0
0,40002059.0,5831204.0,7.0,0,4.0,400,0,2656,3351.13,18218,2429,16660,4,508057,1,1,-16.536821,-68.097122,0,480000,1,2003.0
0,40002059.0,5831204.0,5.0,0,3.0,327,0,1936,,13284,1771,12148,0,539027,1,1,-16.515356,-68.08805799999999,0,350000,1,2014.0
0,40002059.0,5831204.0,5.0,0,4.0,330,0,2185,,14992,1999,13710,3,540964,1,1,-16.522072,-68.062073,0,395000,2,
0,40002059.0,5831204.0,3.0,0,3.0,183,0,1062,,7287,971,6664,2,539430,1,1,-16.522054999999998,-68.054893,0,168000,2,
0,40002059.0,5831204.0,7.0,0,8.0,560,0,2434,,16700,2226,15272,2,539060,1,1,-16.496334,-68.122787,0,440000,2,1980.0
0,40002059.0,5831204.0,2.0,0,15.0,1500,0,7082,8936.35,48581,6476,44428,7,511591,1,1,-16.49164,-68.138237,0,1280000,2,
0,40002059.0,5831204.0,4.0,0,4.0,280,0,2379,,16320,2176,14925,3,539646,1,1,-16.543776,-68.069511,0,430000,2,2000.0
0,40002059.0,5831204.0,1.0,0,5.0,320,0,2545,,17459,2327,15966,3,540686,1,1,-16.542665,-68.06809200000001,0,460000,2,
