address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
ACHUMANIEL PORVENIR CASA EN VENTA,0,40002059,5831204,ENABLED,4,0,3,UC-521331, no social con 20% de aporte propio. ,05/02/2019,371,0,Inmediata,1581,1729.83,10844,1446,9917,3,521331,1,1,-16.520327,La Paz,-68.058716,$us,Achumani,0,250000,La Paz,1,Casa,Venta,,
"OBRAJES, La Paz",0,40002059,5831204,ENABLED,5,0,4,UC-525068, no social con 20% de aporte propio. ,08/04/2019,458,0,Inmediata,3873,,26568,3542,24296,2,525068,1,1,-16.528246,La Paz,-68.102898,$us,Obrajes,0,700000,La Paz,2,Casa,Venta,,
La florida,0,40002059,5831204,ENABLED,5,0,3,UC-521973, no social con 20% de aporte propio. ,09/02/2019,300,0,Inmediata,2434,3044.49,16700,2226,15272,2,521973,1,1,-16.548529,La Paz,-68.086266,$us,La Florida,0,440000,La Paz,2,Casa,Venta,,2012
Mallasilla,0,40002059,5831204,ENABLED,3,0,4,UC-522276, no social con 20% de aporte propio. ,06/02/2019,274,0,01/2019,1577,1972.00,10817,1442,9892,2,522276,1,1,-16.562513,La Paz,-68.099525,$us,Mallasilla,0,285000,La Paz,1,Casa,Venta,,2018
Av principal de Achumani y calle 8 ,0,40002059,5831204,ENABLED,3,0,3,UC-522289, no social con 20% de aporte propio. ,06/02/2019,291,0,Inmediata,2346,2933.78,16092,2145,14717,4,522289,1,1,-16.534788,La Paz,-68.076736,$us,Achumani,0,424000,La Paz,2,Casa,Venta,,
Pamirpampa,0,40002059,5831204,ENABLED,4,0,4,UC-523375, no social con 20% de aporte propio. ,10/02/2019,420,0,Inmediata,2484,,17041,2272,15584,2,523375,1,1,-16.526289,La Paz,-68.063675,$us,Achumani,0,449000,La Paz,2,Casa,Venta,,1990
FCV28602 – COMPRA TU CASA EN JARDINES DEL SUR (CONDOMINIO CERRADO),0,40002059,5831204,ENABLED,6,0,4,UC-523704, no social con 20% de aporte propio. ,06/04/2019,519,0,Inmediata,4426,,30363,4048,27767,2,523704,1,1,-16.509783,La Paz,-68.054062,$us,Achumani,0,800000,La Paz,2,Casa,Venta,,
Calacoto,0,40002059,5831204,ENABLED,7,0,4,UC-523354, no social con 20% de aporte propio. ,10/02/2019,600,0,Inmediata,8299,,56931,7589,52064,5,523354,1,1,-16.542418,La Paz,-68.087929,$us,Calacoto,0,1500000,La Paz,2,Casa,Venta,,
Irpavi,0,40002059,5831204,ENABLED,4,0,4,UC-523362, no social con 20% de aporte propio. ,10/02/2019,400,0,Inmediata,1936,,13284,1771,12148,5,523362,1,1,-16.50466,La Paz,-68.082024,$us,Irpavi,0,350000,La Paz,2,Casa,Venta,,2005
Calle 63,0,40002059,5831204,ENABLED,4,0,3,UC-523004, no social con 20% de aporte propio. ,08/04/2019,220,0,Inmediata,999,,6853,914,6267,3,523004,1,1,-16.538385,La Paz,-68.042877,$us,Chasquipampa,0,158000,La Paz,2,Casa,Venta,,2005
Auquisamaña,0,40002059,5831204,ENABLED,4,0,4,UC-523372, no social con 20% de aporte propio. ,10/02/2019,400,0,Inmediata,1992,,13663,1821,12495,4,523372,1,1,-16.546265,La Paz,-68.066666,$us,Auquisamaña,0,360000,La Paz,2,Casa,Venta,,2000
FCV28736 – COMPRA TU CASA EN ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-524031, no social con 20% de aporte propio. ,06/04/2019,298,0,Inmediata,948,,6506,867,5950,2,524031,1,1,-16.523066,La Paz,-68.059143,$us,Achumani,0,150000,La Paz,2,Casa,Venta,,
Obrajes,0,40002059,5831204,ENABLED,3,0,4,UC-523386, no social con 20% de aporte propio. ,10/02/2019,560,0,Inmediata,7192,,49340,6578,45122,3,523386,1,1,-16.528067,La Paz,-68.104027,$us,Obrajes,0,1300000,La Paz,2,Casa,Venta,,1980
San Miguel,0,40002059,5831204,ENABLED,3,0,4,UC-527017, no social con 20% de aporte propio. ,02/04/2019,220,0,Inmediata,2296,,15751,2100,14404,1,527017,1,1,-16.543034,La Paz,-68.086189,$us,Calacoto,0,415000,La Paz,1,Casa,Venta,,1975
FCV28775 – COMPRA ESTA CASA EN JUPAPINA,0,40002059,5831204,ENABLED,4,0,3,UC-524024, no social con 20% de aporte propio. ,06/04/2019,280,0,Inmediata,1438,,9868,1316,9024,1,524024,1,1,-16.586498,La Paz,-68.076141,$us,Río Abajo,0,260000,La Paz,2,Casa,Venta,,
Achumani Calle. 9,0,40002059,5831204,ENABLED,5,0,4,UC-528645, no social con 20% de aporte propio. ,21/02/2019,385,0,Inmediata,2042,,14005,1867,12808,2,528645,1,1,-16.521849,La Paz,-68.060928,$us,Achumani,0,369000,La Paz,2,Casa,Venta,,1990
Calle junin no. 891  esquina catacora ,0,40002059,5831204,ENABLED,5,0,10,UC-528514, no social con 20% de aporte propio. ,21/02/2019,800,0,Inmediata,2102,,14422,1923,13189,0,528514,1,1,-16.492552,La Paz,-68.133087,$us,Centro,0,380000,La Paz,2,Casa,Venta,,1920
FCV28775 – COMPRA ESTA CASA EN JUPAPINA,0,40002059,5831204,ENABLED,4,0,3,UC-524023, no social con 20% de aporte propio. ,06/04/2019,280,0,Inmediata,1438,,9868,1316,9024,1,524023,1,1,-16.586498,La Paz,-68.076141,$us,Río Abajo,0,260000,La Paz,2,Casa,Venta,,
"TEMBLADERANI,  Inmediaciones del Stadium Bolívar ",0,40002059,5831204,ENABLED,8,0,13,UC-528477, no social con 20% de aporte propio. ,01/04/2019,600,0,Inmediata,2711,,18597,2479,17008,1,528477,1,1,-16.513018,La Paz,-68.14077,$us,Tembladerani,0,490000,La Paz,2,Casa,Venta,,1995
CHASQUIPAMPA C/46,0,40002059,5831204,ENABLED,6,0,5,UC-528566, no social con 20% de aporte propio. ,21/02/2019,380,0,Inmediata,1770,,12145,1619,11107,3,528566,1,1,-16.537891,La Paz,-68.043816,$us,Chasquipampa,0,320000,La Paz,1,Casa,Venta,,2019
FCV29283 – COMPRA TU CASA EN UMAMANTA,0,40002059,5831204,ENABLED,4,0,3,UC-528790, no social con 20% de aporte propio. ,06/04/2019,220,0,Inmediata,1107,,7591,1012,6942,2,528790,1,1,-16.607189,La Paz,-68.069458,$us,Río Abajo,0,175000,La Paz,2,Casa,Venta,,
FCV29370 – COMPRA TU CASA EN ACHOCALLA,0,40002059,5831204,ENABLED,4,0,4,UC-530743, no social con 20% de aporte propio. ,06/04/2019,190,0,Inmediata,1138,,7808,1041,7140,2,530743,1,1,-16.576653,La Paz,-68.12571,$us,Achocalla,0,180000,La Paz,2,Casa,Venta,,
Lomas de Achumani,0,40002059,5831204,ENABLED,4,0,5,UC-530643, no social con 20% de aporte propio. ,27/02/2019,415,0,Inmediata,2102,,14422,1923,13189,3,530643,1,1,-16.522291,La Paz,-68.057396,$us,Achumani,0,380000,La Paz,2,Casa,Venta,,2004
Obrajes casa 3 pisos,0,40002059,5831204,ENABLED,4,0,5,UC-528581, no social con 20% de aporte propio. ,12/03/2019,324,0,Inmediata,1632,,11196,1493,10239,2,528581,1,1,-16.529593,La Paz,-68.099983,$us,Obrajes,0,295000,La Paz,2,Casa,Venta,,2014
ACHUMANI CASA EN VENTA ,0,40002059,5831204,ENABLED,2,0,3,UC-530178, no social con 20% de aporte propio. ,26/02/2019,180,0,Inmediata,1170,,8025,1070,7339,3,530178,1,1,-16.52261,La Paz,-68.059875,$us,Achumani,0,185000,La Paz,1,Casa,Venta,,
Calle Presbitero Medina 2421 sopocachi centro,0,40002059,5831204,ENABLED,14,0,18,UC-530135, no social con 20% de aporte propio. ,26/02/2019,700,0,Inmediata,4426,,30363,4048,27767,1,530135,1,1,-16.511547,La Paz,-68.128136,$us,Sopocachi,0,800000,La Paz,1,Casa,Venta,,1954
"Meseta de achumani, calle 9",0,40002059,5831204,ENABLED,7,0,6,UC-530469, no social con 20% de aporte propio. ,26/02/2019,506,0,03/2019,2086,,14309,1907,13085,3,530469,1,1,-16.526461,La Paz,-68.074631,$us,Achumani,0,377000,La Paz,2,Casa,Venta,,1992
FCV29370 – COMPRA TU CASA EN ACHOCALLA,0,40002059,5831204,ENABLED,4,0,4,UC-530742, no social con 20% de aporte propio. ,06/04/2019,190,0,Inmediata,1138,,7808,1041,7140,2,530742,1,1,-16.576653,La Paz,-68.12571,$us,Achocalla,0,180000,La Paz,2,Casa,Venta,,
Urb. Kanuma Resort,0,40002059,5831204,ENABLED,5,0,6,UC-530383, no social con 20% de aporte propio. ,26/02/2019,270,0,Inmediata,1511,,10367,1382,9481,3,530383,1,1,-16.569035,La Paz,-68.118149,$us,Mallasilla,0,239000,La Paz,1,Casa,Venta,,2019
FCV29448 – COMPRA TU CASA EN IRPAVI,0,40002059,5831204,ENABLED,,0,4,UC-530963, no social con 20% de aporte propio. ,06/04/2019,350,0,Inmediata,1920,,13170,1756,12044,4,530963,1,1,-16.517838,La Paz,-68.083603,$us,Alto Irpavi,0,347000,La Paz,2,Casa,Venta,,
URBANIZACION LAS KANTUTAS CALLE 1 ACHUMANI,0,40002059,5831204,ENABLED,3,0,3,UC-530647, no social con 20% de aporte propio. ,27/02/2019,217,0,Inmediata,1466,,10058,1341,9198,2,530647,1,1,-16.535631,La Paz,-68.069572,$us,Achumani,0,265000,La Paz,2,Casa,Venta,,1999
Calle Nicolas Acosta (final),0,40002059,5831204,ENABLED,4,0,6,UC-530932, no social con 20% de aporte propio. ,27/03/2019,300,0,Inmediata,1454,,9976,1330,9124,0,530932,1,1,-16.50618,La Paz,-68.139709,$us,San Pedro,0,230000,La Paz,2,Casa,Venta,,1995
