amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,garage,latitud,longitud,price,status,year_built,riesgo__alto,riesgo__bajo,riesgo__moderado,riesgo__muy bajo,neighborhood_encoded
0,5.0,0,3.0,324,200,4,-16.558641,-68.093307,289000.0,1,2018.0,0,0,1,0,3
0,5.0,0,5.0,380,300,4,-16.562739999999998,-68.099571,320000.0,2,2015.0,1,0,0,0,21
0,6.0,0,4.0,519,596,2,-16.509783,-68.054062,790000.0,2,,1,0,0,0,5
0,5.0,0,3.0,310,315,2,-16.567923,-68.10141,280000.0,2,,1,0,0,0,21
0,6.0,0,9.0,880,295,2,-16.520243,-68.109451,380000.0,2,1995.0,0,0,1,0,12
0,7.0,0,4.0,600,1200,5,-16.542417999999998,-68.087929,1500000.0,2,,0,1,0,0,6
0,5.0,0,4.0,370,170,1,-16.566319,-68.106049,290000.0,2,2007.0,1,0,0,0,21
0,4.0,0,3.0,220,300,3,-16.538385,-68.042877,158000.0,2,2005.0,0,1,0,0,15
0,4.0,0,4.0,400,1000,5,-16.50466,-68.082024,350000.0,2,2005.0,0,0,1,0,4
0,4.0,0,4.0,400,500,4,-16.546265,-68.066666,360000.0,2,2000.0,0,1,0,0,16
0,4.0,0,4.0,420,600,2,-16.526289000000002,-68.063675,449000.0,2,1990.0,1,0,0,0,5
0,4.0,0,3.0,275,308,2,-16.518723,-68.060303,250000.0,1,2018.0,1,0,0,0,5
0,3.0,0,4.0,560,1000,3,-16.528067,-68.104027,1300000.0,2,1980.0,0,1,0,0,18
0,5.0,0,4.0,400,730,3,-16.548178,-68.087639,640000.0,2,2005.0,0,0,1,0,17
0,5.0,0,3.0,290,490,3,-16.515877,-68.057846,285000.0,2,,1,0,0,0,5
0,5.0,0,3.0,300,550,2,-16.54711,-68.084724,440000.0,2,2010.0,0,0,1,0,17
0,2.0,0,10.0,380,280,4,-16.510399,-68.12915799999999,300000.0,2,1950.0,0,0,1,0,10
0,4.0,0,4.0,500,600,5,-16.513569,-68.052162,450000.0,2,2013.0,1,0,0,0,5
0,4.0,0,4.0,280,293,4,-16.508574,-68.124153,410000.0,2,2000.0,0,0,1,0,10
0,5.0,0,3.0,300,550,2,-16.548529000000002,-68.08626600000001,440000.0,2,2012.0,0,0,1,0,17
0,5.0,0,4.0,500,646,2,-16.512735,-68.057358,550000.0,2,1997.0,1,0,0,0,5
0,4.0,0,3.0,310,365,3,-16.535515,-68.075829,420000.0,2,1985.0,1,0,0,0,5
0,3.0,0,3.0,217,337,2,-16.535631,-68.069572,265000.0,2,1999.0,1,0,0,0,5
0,5.0,0,5.0,720,1112,5,-16.523424,-68.108078,886000.0,2,1980.0,0,1,0,0,18
0,4.0,0,6.0,300,100,0,-16.50618,-68.139709,230000.0,2,1995.0,0,0,1,0,7
0,9.0,0,9.0,397,300,5,-16.505142000000006,-68.08255799999999,300000.0,2,2014.0,0,0,1,0,4
0,5.0,0,4.0,385,300,2,-16.525783999999998,-68.087418,335000.0,2,2000.0,0,0,1,0,4
0,8.0,0,7.0,550,385,2,-16.509914000000002,-68.129486,639999.0,2,1990.0,0,0,1,0,10
0,7.0,0,4.0,650,1050,5,-16.556341,-68.09605400000001,890000.0,2,,0,0,1,0,3
0,7.0,0,6.0,408,220,1,-16.521027,-68.0821,350000.0,1,2018.0,0,1,0,0,1
0,5.0,0,5.0,420,420,3,-16.524481,-68.112289,350000.0,2,2010.0,0,1,0,0,18
0,4.0,0,3.0,300,350,2,-16.547216,-68.06343100000001,257000.0,1,,0,0,1,0,2
0,4.0,0,3.0,139,301,1,-16.531359,-68.056221,146000.0,2,,1,0,0,0,5
0,3.0,0,4.0,300,500,3,-16.560845999999998,-68.091507,350000.0,2,,0,0,1,0,3
0,3.0,0,3.0,305,150,2,-16.502466000000002,-68.081032,160000.0,1,2014.0,0,0,1,0,4
0,7.0,0,6.0,750,452,4,-16.528576,-68.092621,650000.0,1,2002.0,1,0,0,0,31
0,5.0,0,3.0,250,176,2,-16.526332999999994,-68.06279,280000.0,1,2018.0,1,0,0,0,5
0,6.0,0,4.0,385,418,3,-16.516356,-68.061913,296000.0,2,2007.0,1,0,0,0,5
0,6.0,0,10.0,434,441,5,-16.535917,-68.104675,200000.0,2,,0,1,0,0,19
0,7.0,0,6.0,750,452,4,-16.532215,-68.091064,650000.0,1,2002.0,1,0,0,0,31
0,3.0,0,4.0,243,250,3,-16.533511999999998,-68.077148,295000.0,2,,1,0,0,0,5
0,4.0,0,3.0,250,150,2,-16.525881,-68.063263,286000.0,1,2018.0,1,0,0,0,5
0,4.0,0,4.0,350,289,4,-16.517717,-68.083733,347000.0,2,,0,0,1,0,4
0,5.0,0,4.0,339,495,2,-16.5411,-68.054459,305000.0,2,,0,1,0,0,15
0,3.0,0,4.0,220,240,1,-16.543034,-68.086189,415000.0,1,1975.0,0,1,0,0,6
0,5.0,0,4.0,385,470,2,-16.521849,-68.060928,369000.0,2,1990.0,1,0,0,0,5
0,8.0,0,13.0,600,100,1,-16.513018,-68.14076999999999,490000.0,2,1995.0,0,0,1,0,25
0,6.0,0,5.0,380,372,3,-16.537891000000002,-68.043816,299000.0,1,2019.0,0,1,0,0,15
0,5.0,0,6.0,270,230,3,-16.569035,-68.118149,239000.0,1,2019.0,1,0,0,0,21
0,4.0,0,4.0,270,280,2,-16.548105,-68.064255,320000.0,2,2017.0,0,0,1,0,2
0,4.0,0,5.0,324,188,2,-16.529593,-68.099983,295000.0,2,2014.0,0,1,0,0,18
0,5.0,0,3.0,320,180,4,-16.559488,-68.09288000000001,289000.0,1,2019.0,0,0,1,0,3
0,3.0,0,5.0,195,200,0,-16.505342000000002,-68.136749,230000.0,2,,0,0,1,0,7
0,4.0,0,3.0,169,200,0,-16.520779,-68.059296,195000.0,1,2019.0,1,0,0,0,5
0,5.0,0,5.0,290,300,2,-16.516088,-68.06517,315000.0,1,2012.0,1,0,0,0,5
0,5.0,0,6.0,248,190,4,-16.539351999999994,-68.049644,200000.0,2,2015.0,0,1,0,0,15
0,8.0,0,5.0,597,300,2,-16.527393,-68.08873,390000.0,2,,0,0,1,0,4
0,8.0,0,5.0,597,300,2,-16.529888,-68.083839,390000.0,2,,0,0,1,0,4
0,7.0,0,5.0,485,300,2,-16.548794,-68.072678,277000.0,2,,0,1,0,0,16
0,6.0,0,4.0,320,320,4,-16.547251,-68.077873,420000.0,1,,0,1,0,0,16
0,4.0,0,4.0,260,931,6,-16.642771,-68.042023,230000.0,2,2015.0,1,0,0,0,13
0,4.0,0,4.0,272,80,2,-16.505861,-68.13497199999999,230000.0,2,,0,0,1,0,7
0,4.0,0,3.0,300,300,3,-16.521379,-68.062744,315000.0,2,,1,0,0,0,5
0,1.0,0,3.0,90,184,0,-16.49021,-68.12718199999999,110000.0,2,1980.0,0,0,0,1,14
0,4.0,0,4.0,185,260,1,-16.601361999999998,-68.07060200000001,165000.0,1,2018.0,1,0,0,0,30
0,3.0,0,3.0,239,162,1,-16.538771,-68.065552,185000.0,2,,0,0,1,0,2
0,6.0,0,12.0,561,200,0,-16.475327,-68.128036,255000.0,1,2010.0,0,1,0,0,29
0,4.0,0,3.0,0,393,3,-16.544453,-68.07309000000001,220000.0,2,,0,0,1,0,20
0,4.0,0,4.0,310,206,2,-16.520325,-68.105598,230000.0,2,2010.0,0,0,1,0,12
0,3.0,0,3.0,239,162,1,-16.543375,-68.060677,185000.0,2,,0,0,1,0,2
0,4.0,0,5.0,375,300,2,-16.533752,-68.073265,390000.0,2,,1,0,0,0,5
0,5.0,0,4.0,450,780,4,-16.524893,-68.06781,790000.0,2,2013.0,1,0,0,0,5
0,8.0,0,5.0,519,318,1,-16.513247,-68.122124,600000.0,2,,0,0,0,1,26
0,3.0,0,4.0,167,114,2,-16.486629,-68.124298,140000.0,2,1994.0,0,0,0,1,14
0,2.0,0,5.0,350,1000,4,-16.544495,-68.09585600000001,600000.0,2,1980.0,0,1,0,0,19
0,4.0,0,4.0,500,1000,6,-16.529156,-68.101334,1230000.0,2,1988.0,0,1,0,0,18
0,6.0,0,7.0,570,600,2,-16.54166,-68.05275,420000.0,2,,0,1,0,0,15
0,4.0,1,3.0,291,200,3,-16.542147,-68.068962,235000.0,2,1997.0,0,0,1,0,2
0,3.0,0,5.0,257,200,1,-16.519955,-68.103065,218000.0,2,1994.0,0,0,1,0,12
0,2.0,0,4.0,235,497,2,-16.515409,-68.09139300000001,230000.0,2,1994.0,0,1,0,0,9
0,3.0,0,4.0,287,295,2,-16.538715,-68.096756,248000.0,2,,0,1,0,0,19
0,3.0,0,4.0,360,420,2,-16.534983,-68.069778,400000.0,2,2005.0,1,0,0,0,5
0,5.0,0,4.0,0,500,2,-16.544453,-68.07309000000001,359000.0,2,,0,0,1,0,20
0,3.0,0,4.0,300,340,2,-16.526045,-68.06324000000001,370000.0,2,2010.0,1,0,0,0,5
0,3.0,0,6.0,333,97,0,-16.499676,-68.143204,620000.0,2,2005.0,0,0,1,0,7
0,5.0,0,4.0,450,750,4,-16.525963,-68.068802,790000.0,2,2011.0,1,0,0,0,5
0,6.0,0,10.0,337,310,1,-16.51156,-68.11882,420000.0,2,1967.0,0,0,0,1,26
0,5.0,0,18.0,600,300,6,-16.508842,-68.125961,780000.0,2,1980.0,0,0,1,0,10
