address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Calle 22A # 10 de Achumani,0,,,ENABLED,3,0,4,UC-515860,,14/02/2019,300,350,0,Inmediata,0,,0,0,0,3,515860,29,1,2,-16.530895,La Paz,-68.068832,$us,Achumani,0,1500,La Paz,2,Casa,Alquiler,21000.00 $us,1990
Achumani,1,,,ENABLED,6,0,4,UC-367776,,01/04/2019,380,300,0,Inmediata,0,,0,0,0,2,367776,29,1,2,-16.520203,La Paz,-68.057343,$us,Achumani,0,1800,La Paz,2,Casa,Alquiler,1800.00 $us,
Jardines del sur,1,,,ENABLED,4,0,4,UC-514919,,29/04/2019,646,748,0,Inmediata,0,,0,0,0,1,514919,29,1,2,-16.523655,La Paz,-68.058975,$us,Achumani,0,2900,La Paz,2,Casa,Alquiler,,
FCA13991 – ALQUILA ESTA CASA EN ACHUMANI,0,,,ENABLED,3,0,4,UC-465818,,24/04/2019,815,350,0,Inmediata,0,,0,0,0,4,465818,29,1,2,-16.52482,La Paz,-68.069801,$us,Achumani,0,1100,La Paz,2,Casa,Alquiler,,
VALLE DE ARANJUEZ,1,,,ENABLED,5,0,4,UC-516246,,29/04/2019,530,700,0,Inmediata,0,,0,0,0,2,516246,151,1,2,-16.558582,La Paz,-68.098312,$us,Aranjuez,0,2800,La Paz,2,Casa,Alquiler,,
FCA14500 – ALQUILA TU CASA EN EL CLUB GOLF,0,,,ENABLED,5,0,3,UC-465802,,24/04/2019,600,400,0,Inmediata,0,,0,0,0,3,465802,192,1,2,-15.089242,La Paz,-68.524712,$us,Mallasilla,0,2000,La Paz,2,Casa,Alquiler,,
Alto Irpavi Peña Azul,0,40002059,5831204,ENABLED,4,0,4,UC-223756, no social con 20% de aporte propio. ,21/03/2019,220,300,0,Inmediata,1581,1735.48,10844,1446,9917,3,223756,180,1,2,-16.515133,La Paz,-68.08371,Bs,Alto Irpavi,0,4500,La Paz,2,Casa,Alquiler,5000.00 Bs,2006
Achumani,0,,,ENABLED,4,0,4,UC-430233,,10/08/2018,238,276,0,Inmediata,0,,0,0,0,2,430233,29,1,2,-16.518639,La Paz,-68.064079,$us,Achumani,0,1700,La Paz,2,Casa,Alquiler,1700.00 $us,
FCA13991 – ALQUILA ESTA CASA EN ACHUMANI,0,,,ENABLED,3,0,4,UC-422612,,24/04/2019,815,350,0,Inmediata,0,,0,0,0,4,422612,29,1,2,-16.52482,La Paz,-68.069801,$us,Achumani,0,1100,La Paz,2,Casa,Alquiler,,
ARANJUEZ,0,,,ENABLED,6,0,4,UC-421729,,29/07/2018,480,1000,0,Inmediata,0,,0,0,0,5,421729,151,1,2,-16.559982,La Paz,-68.093697,$us,Aranjuez,0,2100,La Paz,2,Casa,Alquiler,2100.00 $us,
