address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
CALACOTO,0,40002059,5831204,SOLD,3,0,3,UC-345503, no social con 20% de aporte propio. ,21/06/2018,188,0,1,Inmediata,1743,2168.91,11955,1594,10933,2,345503,32,2,1,-16.541428,La Paz,-68.087479,$us,Calacoto,0,315000,La Paz,1,Departamento,Venta,,2017
Cota Cota - Hermoso y amplio departamento en venta,0,40002059,5831204,ENABLED,4,1,3,UC-311265, no social con 20% de aporte propio. ,12/02/2019,183,0,1,Inmediata,1005,1167.19,6897,919,6307,2,311265,35,2,1,-16.541601,La Paz,-68.065865,$us,Cota Cota,0,159000,La Paz,2,Departamento,Venta,,
Calacoto,0,40002059,5831204,ENABLED,4,1,2,UC-331950, no social con 20% de aporte propio. ,16/03/2019,240,0,1,Inmediata,1549,1954.83,10627,1417,9719,2,331950,32,2,1,-16.542191,La Paz,-68.08564,$us,Calacoto,0,280000,La Paz,1,Departamento,Venta,,2018
CALACOTO ,0,40002059,5831204,SOLD,3,1,3,UC-341932, no social con 20% de aporte propio. ,16/06/2018,153,0,1,Inmediata,1157,1260.04,7938,1058,7259,1,341932,32,2,1,-16.540674,La Paz,-68.089584,$us,Calacoto,0,183000,La Paz,1,Departamento,Venta,,
Departamento en venta en irpavi,0,40002059,5831204,ENABLED,4,0,3,UC-333486, no social con 20% de aporte propio. ,08/06/2018,140,0,1,Inmediata,1018,1108.56,6984,931,6386,1,333486,37,2,1,-16.528511,La Paz,-68.087715,$us,Irpavi,0,161000,La Paz,2,Departamento,Venta,,2016
Departamento en Miraflores,0,40002059,5831204,ENABLED,4,0,3,UC-354396, no social con 20% de aporte propio. ,12/10/2018,0,0,1,Inmediata,929,1012.16,6376,850,5831,0,354396,41,2,1,-16.503281,La Paz,-68.123016,$us,Miraflores,0,147000,La Paz,1,Departamento,Venta,,
Cota Cota,0,40002059,5831204,ENABLED,4,0,3,UC-373548, no social con 20% de aporte propio. ,15/03/2019,169,0,1,Inmediata,904,984.62,6203,827,5672,1,373548,35,2,1,-16.541183,La Paz,-68.058304,$us,Cota Cota,0,143000,La Paz,1,Departamento,Venta,,2018
SOPOCACHI - Departamento en venta,0,40002059,5831204,ENABLED,3,1,3,UC-374280, no social con 20% de aporte propio. ,29/06/2018,152,0,1,Inmediata,1062,1156.75,7287,971,6664,1,374280,47,2,1,-16.511709,La Paz,-68.128716,$us,Sopocachi,0,168000,La Paz,2,Departamento,Venta,,
OBRAJES,0,40002059,5831204,ENABLED,4,0,3,UC-359679, no social con 20% de aporte propio. ,24/07/2018,200,0,1,Inmediata,1265,1377.09,8675,1156,7934,2,359679,42,2,1,-16.529776,La Paz,-68.106628,$us,Obrajes,0,200000,La Paz,1,Departamento,Venta,,2018
"FDV12963 – DEPARTAMENTO EN VENTA, CALACOTO",0,40002059,5831204,ENABLED,4,0,3,UC-405439, no social con 20% de aporte propio. ,24/04/2019,138,138,0,Inmediata,1062,1167.19,7287,971,6664,2,405439,32,2,1,-16.54298,La Paz,-68.085014,$us,Calacoto,0,168000,La Paz,2,Departamento,Venta,,
