address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
CASA EN VENTA: COTA COTA,0,40002059,5831204,ENABLED,5,0,4,UC-327610, no social con 20% de aporte propio. ,27/01/2019,0,0,Inmediata,1770,2203.34,12145,1619,11107,3,327610,1,1,-16.542715,La Paz,-68.062874,$us,Cota Cota,0,320000,La Paz,2,Casa,Venta,,1995
OBRAJES inmediaciones c/10,0,40002059,5831204,ENABLED,5,0,4,UC-441328, no social con 20% de aporte propio. ,25/04/2019,350,0,Inmediata,1577,1988.12,10817,1442,9892,1,441328,1,1,-16.5284,La Paz,-68.109756,$us,Obrajes,0,285000,La Paz,2,Casa,Venta,,
"FCV10200 – CASA EN VENTA, ALTO SEGUENCOMA",0,40002059,5831204,ENABLED,2,0,3,UC-465960, no social con 20% de aporte propio. ,24/04/2019,200,0,Inmediata,1328,1666.06,9109,1214,8330,3,465960,1,1,-16.53348,La Paz,-68.103333,$us,Seguencoma,0,210000,La Paz,2,Casa,Venta,,
EN VENTA CASA EN IRPAVI,0,40002059,5831204,ENABLED,3,0,3,UC-377371, no social con 20% de aporte propio. ,14/10/2018,285,0,Inmediata,2324,2891.89,15941,2125,14578,3,377371,1,1,-16.523584,La Paz,-68.086288,$us,Irpavi,0,420000,La Paz,1,Casa,Venta,,2011
EN VENTA: HERMOSA RESIDENCIA EN LA FLORIDA ,0,40002059,5831204,ENABLED,6,0,4,UC-327648, no social con 20% de aporte propio. ,10/02/2019,530,0,Inmediata,2960,3459.64,20305,2707,18569,3,327648,1,1,-16.552507,La Paz,-68.083717,$us,La Florida,0,535000,La Paz,2,Casa,Venta,,2015
"SOPOCACHI, 20 de Octubre, La Paz",0,40002059,5831204,ENABLED,2,0,3,UC-525084, no social con 20% de aporte propio. ,26/04/2019,350,0,Inmediata,1826,,12525,1670,11454,2,525084,1,1,-16.513016,La Paz,-68.123688,$us,Sopocachi,0,330000,La Paz,2,Casa,Venta,,
EN VENTA HERMOSA CASA EN IRPAVI,0,40002059,5831204,ENABLED,3,0,4,UC-550540, no social con 20% de aporte propio. ,24/04/2019,262,0,Inmediata,1549,,10627,1417,9719,2,550540,1,1,-16.527895,La Paz,-68.08432,$us,Irpavi,0,280000,La Paz,2,Casa,Venta,,1997
Achumani,0,40002059,5831204,ENABLED,3,0,3,UC-550207, no social con 20% de aporte propio. ,23/04/2019,160,0,12/2019,1189,,8155,1087,7458,2,550207,1,1,-16.52046,La Paz,-68.058472,$us,Achumani,0,188000,La Paz,1,Casa,Venta,,2019
Bajo Seguencoma,0,40002059,5831204,ENABLED,5,0,10,UC-550043, no social con 20% de aporte propio. ,23/04/2019,1000,0,Inmediata,2656,,18218,2429,16660,4,550043,1,1,-16.538715,La Paz,-68.096313,$us,Seguencoma,0,480000,La Paz,1,Casa,Venta,,1973
"Achumani, Jurenco ",0,40002059,5831204,ENABLED,3,0,3,UC-550542, no social con 20% de aporte propio. ,24/04/2019,300,0,Inmediata,1518,,10410,1388,9520,3,550542,1,1,-16.512541,La Paz,-68.06163,$us,Achumani,0,240000,La Paz,2,Casa,Venta,,
"Rio abajo
Palomar",0,44130787,6433059,ENABLED,4,0,5,UC-550080, social. ,24/04/2019,450,0,Inmediata,292,,2006,263,1804,4,550080,1,1,-16.696358,La Paz,-68.005966,Bs,Río Abajo,0,350000,La Paz,2,Casa,Venta,,1999
Mallasilla,0,40002059,5831204,ENABLED,5,0,4,UC-550613, no social con 20% de aporte propio. ,24/04/2019,386,0,Inmediata,2213,,15182,2024,13884,2,550613,1,1,-16.56292,La Paz,-68.105576,$us,Mallasilla,0,400000,La Paz,2,Casa,Venta,,
"PRECIOSA CASA EN IRPAVI 2
Linda muy cómoda casa en condominio privado, muy fácil acceso a movilidad pública a sólo media cuadra de la parada de Puma Katary 
400mt2 construidos, 300mt2 de superficie de terreno. 3 plantas con amplios espacios y mucha luz y sol 
Cuenta con 4 dormitorios (2 en suite) con cómodos roperos empotrados y vestidores,  baños  amplios con elegante mobiliario y mesones de granito, 2 salas de estar amplisimas, living comedor con salida al jardín, escritorio, pisos de tajibo entablonado, cómoda y bonita cocina con comedor de diario y mobiliario alto y bajo, amplio sauna con jacuzzi, cuarto de máquinas, deposito, cómodas dependencias de empleada, lindo jardín con parrillero, garaje para 3 movilidades. 
Finísimos acabados 
Precio  Usd. 300.000.-
Contacto Patricia Vilela (celular )",0,40002059,5831204,ENABLED,5,0,3,UC-514286, no social con 20% de aporte propio. ,27/01/2019,400,0,Inmediata,1660,2094.46,11386,1518,10413,3,514286,1,1,-16.515982,La Paz,-68.088051,$us,Irpavi,0,300000,La Paz,2,Casa,Venta,,2014
Alto Irpavi,0,40002059,5831204,ENABLED,4,0,3,UC-550993, no social con 20% de aporte propio. ,25/04/2019,300,0,Inmediata,1581,,10844,1446,9917,2,550993,1,1,-16.519169,La Paz,-68.077232,$us,Alto Irpavi,0,250000,La Paz,2,Casa,Venta,,
