amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,elevator,garage,id_neighborhood,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,4.0,0,4.0,200,0,0,1,38,-16.528202,-68.079391,Koani,160000.0,2,Venta,,bajo
0,2.0,0,2.0,80,0,0,0,180,-16.516413,-68.084686,Alto Irpavi,69000.0,1,Venta,2019.0,bajo
0,4.0,0,3.0,130,0,0,1,29,-16.525278,-68.068962,Achumani,150000.0,2,Venta,,alto
0,5.0,1,4.0,199,0,0,1,37,-16.513287,-68.08744,Irpavi,180000.0,2,Venta,,moderado
0,4.0,0,3.0,151,0,0,1,29,-16.520113000000002,-68.058563,Achumani,115000.0,2,Venta,,alto
0,4.0,0,3.0,130,0,0,1,29,-16.525278,-68.068962,Achumani,150000.0,2,Venta,,alto
0,4.0,0,3.0,155,0,0,1,37,-16.502651,-68.08279399999999,Irpavi,130000.0,2,Venta,,moderado
0,3.0,0,2.0,98,0,0,1,39,-16.549578,-68.089745,La Florida,116000.0,1,Venta,2019.0,moderado
0,2.0,0,3.0,62,0,0,0,29,-16.518944,-68.062637,Achumani,57000.0,2,Venta,,alto
0,1.0,0,1.0,46,0,0,1,52,-16.545379999999998,-68.069511,Los Pinos,75500.0,1,Venta,2019.0,moderado
0,4.0,0,3.0,140,0,0,1,52,-16.542459,-68.076035,Los Pinos,130000.0,2,Venta,2015.0,moderado
0,3.0,0,3.0,140,0,0,1,37,-16.529335,-68.086182,Irpavi,159000.0,1,Venta,2018.0,moderado
0,2.0,0,3.0,62,0,0,0,29,-16.523178,-68.059349,Achumani,57000.0,2,Venta,,alto
0,2.0,0,2.0,90,0,0,1,37,-16.522382999999998,-68.08626600000001,Irpavi,106000.0,1,Venta,2019.0,moderado
0,1.0,0,1.0,45,0,0,0,42,-16.524110999999998,-68.11241899999999,Obrajes,65000.0,1,Venta,2018.0,bajo
0,4.0,0,3.0,186,0,0,1,32,-16.540443,-68.087776,Calacoto,260000.0,1,Venta,,bajo
0,4.0,0,3.0,206,0,0,1,32,-16.54501,-68.085213,Calacoto,210000.0,1,Venta,2014.0,bajo
0,1.0,0,2.0,60,0,0,0,29,-16.521314999999998,-68.06073,Achumani,65000.0,1,Venta,2018.0,alto
0,1.0,0,2.0,46,0,0,0,29,-16.519054,-68.061249,Achumani,42000.0,2,Venta,,alto
0,3.0,0,3.0,80,0,0,1,180,-16.517281,-68.08326,Alto Irpavi,80000.0,1,Venta,,bajo
0,4.0,0,4.0,137,0,0,1,42,-16.525581,-68.109711,Obrajes,178000.0,2,Venta,2016.0,bajo
0,1.0,0,2.0,47,0,0,0,29,-16.523771,-68.059288,Achumani,43000.0,2,Venta,,alto
0,1.0,0,1.0,26,0,0,0,29,-16.521513,-68.061035,Achumani,28000.0,2,Venta,,alto
0,1.0,0,1.0,26,0,0,0,29,-16.522697,-68.061897,Achumani,28000.0,2,Venta,,alto
0,1.0,0,2.0,47,0,0,0,29,-16.518307,-68.058945,Achumani,43000.0,2,Venta,,alto
0,1.0,0,2.0,46,0,0,0,29,-16.522688,-68.057091,Achumani,42000.0,2,Venta,,alto
0,2.0,0,3.0,62,0,0,0,29,-16.521046,-68.061066,Achumani,57000.0,2,Venta,,alto
